pdf,page,reviewer,result,notes
orthemma-ortheme-systems-draft.pdf,1,claude-fable-5,PASS,"prior stranded 'causes.' widow repaired; bullet completes in-column"
orthemma-ortheme-systems-draft.pdf,2,claude-fable-5,PASS,"prior isolated 1.5 heading repaired; heading now keeps its body"
orthemma-ortheme-systems-draft.pdf,3,claude-fable-5,PASS,"prior fragmented 3-col table now breakable row blocks; fibre formula now display math"
orthemma-ortheme-systems-draft.pdf,4,claude-fable-5,PASS,"prior ASCII flow diagram now two display-math chains; Succ display math"
orthemma-ortheme-systems-draft.pdf,5,claude-fable-5,PASS,"prior raw profile-notation block now itemized math; merger-gap now display math"
orthemma-ortheme-systems-draft.pdf,6,claude-fable-5,PASS,"prior shattered 4-col uncertainty table now row blocks with bold row leads (distinct rereview caught, then fixed, an intermediate Column-1 placeholder-label regression); h-record stacked displays"
orthemma-ortheme-systems-draft.pdf,7,claude-fable-5,PASS,"prior fragmented families table now row blocks; mis-scoped pass now math"
orthemma-ortheme-systems-draft.pdf,8,claude-fable-5,PASS,"mu record now display math"
orthemma-ortheme-systems-draft.pdf,9,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,10,claude-fable-5,PASS,"dispositions now inline prose"
orthemma-ortheme-systems-draft.pdf,11,claude-fable-5,PASS,"revision operator now display math"
orthemma-ortheme-systems-draft.pdf,12,claude-fable-5,PASS,"machine-managed somnus YAML projection retained as contained small verbatim (machine-readable form)"
orthemma-ortheme-systems-draft.pdf,13,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,14,claude-fable-5,PASS,"result-by-pathway matrix blocks now lead with bold cell titles; pre-existing Column-1 placeholders removed"
orthemma-ortheme-systems-draft.pdf,15,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,16,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,17,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,18,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,19,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,20,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,21,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,22,claude-fable-5,PASS,"single-column appendix intact"
orthemma-ortheme-systems-draft.pdf,23,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,24,claude-fable-5,PASS,
orthemma-ortheme-systems-draft.pdf,25,claude-fable-5,PASS,"page count 26->25 after repairs"
orthemic-core-reference-draft.pdf,1,claude-fable-5,PASS,"iota embedding retained as contained small verbatim"
orthemic-core-reference-draft.pdf,2,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,3,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,4,claude-fable-5,PASS,"trace record contained small verbatim"
orthemic-core-reference-draft.pdf,5,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,6,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,7,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,8,claude-fable-5,PASS,"CorePath/ReqPath/status blocks contained small verbatim"
orthemic-core-reference-draft.pdf,9,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,10,claude-fable-5,PASS,
orthemic-core-reference-draft.pdf,11,claude-fable-5,PASS,"derived multi-actor definitions now itemized math; Compat/Conflict contained"
orthemic-core-reference-draft.pdf,12,claude-fable-5,PASS,"prior mid-column companion-title start repaired"
orthemic-core-reference-draft.pdf,13,claude-fable-5,PASS,"companion note now begins on a fresh page via clearpage"
orthemic-core-reference-draft.pdf,14,claude-fable-5,PASS,"prior raw derived-definitions block now itemized math"
orthemic-core-reference-draft.pdf,15,claude-fable-5,PASS,"page count 14->15 from the clean part boundary"
orthability-ground-of-intelligibility-draft.pdf,1,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,2,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,3,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,4,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,5,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,6,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,7,claude-fable-5,PASS,
orthability-ground-of-intelligibility-draft.pdf,8,claude-fable-5,PASS,
orthability-divine-speech-athari-draft.pdf,1,claude-fable-5,PASS,
orthability-divine-speech-athari-draft.pdf,2,claude-fable-5,PASS,
orthability-divine-speech-athari-draft.pdf,3,claude-fable-5,PASS,
orthability-divine-speech-athari-draft.pdf,4,claude-fable-5,PASS,
orthability-divine-speech-athari-draft.pdf,5,claude-fable-5,PASS,"prior stranded route-specificity bullet and dead area repaired"
orthability-divine-speech-athari-draft.pdf,6,claude-fable-5,PASS,
dynamic-orthing-noetic-learning-orthability-draft.pdf,1,claude-fable-5,PASS,
dynamic-orthing-noetic-learning-orthability-draft.pdf,2,claude-fable-5,PASS,
dynamic-orthing-noetic-learning-orthability-draft.pdf,3,claude-fable-5,PASS,
dynamic-orthing-noetic-learning-orthability-draft.pdf,4,claude-fable-5,PASS,
dynamic-orthing-noetic-learning-orthability-draft.pdf,5,claude-fable-5,PASS,
notation-gallery.pdf,1,claude-fable-5,PASS,
notation-gallery.pdf,2,claude-fable-5,PASS_WITH_NOTE,"episode-signature display renders as a multi-line right-drifting staircase ending with Succ-rangle alone at the right margin; cosmetic accepted residual"
