observed_filename,expected_filename,available,sha256,size_bytes,source_role,authority_level,manifest_status,archive_path_safety,bytes_accessible,coverage_level,program_surfaces,custody_limitation,pages,word_count,title,author
2405.07987v5.pdf,2405.07987v5(1).pdf,True,fa9b7cc99c1e852960733b2ac89069bf448b2451bd198b4fc2d93aedb533e858,3268833,PRH external empirical/theoretical comparator,EXTERNAL_EMPIRICAL_OR_THEORETICAL_REFERENCE,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S29,S30",none beyond stated authority,27,18019,The Platonic Representation Hypothesis,"Minyoung Huh, Brian Cheung, Tongzhou Wang, Phillip Isola"
A-Commentary-on-the-Creed-of-Asfahani-v2.3(1).md,A-Commentary-on-the-Creed-of-Asfahani-v2.3.md,True,932abd7e2d7b3702d5d6d77d2a4a95ecfb3a9ccbcfbbce7ae750b2bcf55bef7c,596386,translated primary-text/commentary access,SECONDARY_SCHOLARSHIP_OR_TRANSLATION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S15,S49",mediated access; not verified Arabic critical-edition bytes,,98097,,
AR8R_ADDITIVE_FULL_PROGRAM_CONTINUITY_REENTRY_AND_FRESH_THREAD_HANDOFF_V2(1).md,AR8R_ADDITIVE_FULL_PROGRAM_CONTINUITY_REENTRY_AND_FRESH_THREAD_HANDOFF_V2.md,True,074695214130a264c4f0415beadce032513730b1a469409a2db392f20aadd7cc,48840,controlling continuity requirement,OWNER_CONTINUITY_OR_EXECUTION_INSTRUCTION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,all,none beyond stated authority,,5220,,
AR8R_FRESH_PRO_POST_MERGE_OWNER_DECISIONS_T354_REPAIR_V1(1).md,AR8R_FRESH_PRO_POST_MERGE_OWNER_DECISIONS_T354_REPAIR_V1.md,True,768b6617280b4ba049f657bb7efe5a174773f58bedd9e11b908eb6c5492f43da,22752,bounded T354 execution instruction and exact owner decisions,OWNER_CONTINUITY_OR_EXECUTION_INSTRUCTION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S22-S24,S50,S61",none beyond stated authority,,2841,,
AR8R_POST_MERGE_VERIFIED_HANDOFF_V9.zip,AR8R_POST_MERGE_VERIFIED_HANDOFF_V9.zip,True,7dcef75c2764442c383cc9f6abf971332d2d1d1a68183fdb009098967f3ebce3,229283,verified post-merge recovery handoff,VERIFIED_POST_MERGE_HANDOFF,internal SHA256SUMS PASS,PASS: CRC/path/symlink/encryption audit,yes,COMPREHENSIVE,"S20-S24,S50,S65",none beyond stated authority,,,,
Carl_Sharif_El-TobguiRobert_Wisnovsky_Supervisor2_Wael_Halla_-_Reason_revelation__the_reconstitution_of_rationality__Taqi_al-Din_Ibn_Taymiyyas_d._728_1328_Dar_Ta_arud_al-_Aql_wa-l-Na_2013_McGill_Univ (1)(3).md,El-Tobgui dissertation Markdown snapshot,True,657454ff7a1c43b895e7a378d12993295368a97c3f35df5a76edfaa32f67a177,881434,secondary scholarly reconstruction of Ibn Taymiyyah,SECONDARY_SCHOLARSHIP_OR_TRANSLATION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S15,S17,S49",mediated access; not verified Arabic critical-edition bytes,,137212,,
Ibn Taymiyyah's Epistemology(3).md,Ibn Taymiyyah's Epistemology collection,True,d9b2fe81165c363cf7ca4ba1ed50074b3542b38793c442b7cddf219e229a7dde,391511,composite secondary epistemology collection,SECONDARY_SCHOLARSHIP_OR_TRANSLATION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S17,S25,S49",mediated access; not verified Arabic critical-edition bytes,,59589,,
The_Incoherence_of_Atheism_by_Sheikh_Abdullah_ibn_Salih_Al-Ujayri(1).md,The_Incoherence_of_Atheism_by_Sheikh_Abdullah_ibn_Salih_Al-Ujayri.md,True,4aea9b66f178e3454015cd0082c3adb0dda5ae80593f7e37d26b73a96028a2d1,582329,contemporary Athari synthesis/apologetic,SECONDARY_SCHOLARSHIP_OR_TRANSLATION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S15,S49",mediated access; not verified Arabic critical-edition bytes,,98751,,
cdc_prompt(1).pdf,cdc_prompt.pdf,True,0e48deee28caba82ee5b4191d4c5c6ec4d62e5d27890fa7f0d2c8868f8b758f3,123015,frontier-search/orchestration precedent,OWNER_CONTINUITY_OR_EXECUTION_INSTRUCTION,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S20,S47,S57",none beyond stated authority,2,746,,
orthemology-main(7).zip,orthemology current main snapshot,True,ec5314442cc6212cad0cd5cd9fcdfb835567f4847830445c8f7529ea8422a04e,3871623,complete current-main repository snapshot without .git metadata,CURRENT_MERGED_REPOSITORY_BYTES,repository manifests inspected,PASS: CRC/path/symlink/encryption audit,yes,COMPREHENSIVE,"S01-S06,S25-S28,S34,S48,S50-S62",no .git metadata; cannot observe local branch/worktree,,,,
